ID,名前,セリフ
1,Player,ここがⓡMainQuestⓦが出されていた村...
2,,ⓡ右側にいる警備兵ⓖにⓡBattle説明ⓖを聞いてから'\nⓡMainQuestⓖを進むとしよう。ⓦ
3,警備兵,自分はこの村で警備を任されている者だ。\nⓡBattleⓦに関して説明しておくとしよう。
4,警備兵,村を出てField上のモンスターに当たったらBattleが\n開始されることになる。
5,警備兵,敵を攻撃した後になら有利な状態でBattleを開始できる\nので'参考にしといてくれ。
6,警備兵,Battleは基本的に自分のターンと敵のターンに分けて\n進める形になる。
7,警備兵,ⓡAttackⓦ'ⓡSkillⓦ'ⓡHealⓦ'ⓡItemⓦそして１ターンごとに少しづつ溜まるMPを全消耗することで'発動させるⓡ全体攻撃ⓦ。
8,警備兵,ⓡAttackⓦやダメージを与えるⓡSkillⓦの場合'該当するボタンをタッチした後'
9,警備兵,ⓡロックオンⓦされている敵をタッチすることで行動が\n開始される。
10,警備兵,他の行動はボタンをタッチするだけで行動が開始される。
11,警備兵,行動が終わったら'ターンが終了する形になる。
12,警備兵,そしてⓡBuffSkillⓦは攻撃力を上昇。ⓡ1Battleに1回使用可能ⓦ\nだから気を付けて使うといい。
13,警備兵,ⓡSturnSkillⓦは50%確率で一時的に敵を行動不能にさせる\nことができる。その上'
14,警備兵,HPを回復できるⓡItem Potionⓦを獲得することになる。
15,警備兵,敵がⓡSturnの状態ⓦの時ⓡAttackⓦが三段から四段攻撃になり'\n最後の一撃はダメージが上昇する。
16,警備兵,そして3ターンごとに40%確率でⓡAttackUPⓦバフが\n自動発動される。
17,警備兵,ⓡSkillⓦに関する説明は画面右上のⓡ ! ボタン ⓦで確認できる。
18,警備兵,以上がバトルに関する説明になるな。
19,警備兵,ⓡStatusⓦはⓡ木下にいるNPCⓦに'仕事であるⓡMainQuestⓦはⓡ\n掲示板ⓦを参考にしてくれ。
20,警備兵,まぁ'適当に頼むわ。
21,警備兵,ⓡStatusⓦはⓡ木下にいるNPCⓦに'仕事であるⓡMainQuestⓦはⓡ\n掲示板ⓦを参考にしてくれ。
22,警備兵,まぁ'適当に頼むわ。
23,警備兵,大変だったな。ありがとう。村を代表して礼を言う。
24,Player,このくらいなんて事はない。
